id,name,type,nutrition,value,unit,url,value_level
109,Fried Chicken Wings,appetizer,Potassium,368,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Fried-Chicken-Wings-6131-I-500x500.jpg,-0.6429973968744738
110,Fried Chicken Wings,appetizer,Calcium,33,mg,https://www.justonecookbook.com/wp-content/uploads/2020/02/Fried-Chicken-Wings-6131-I-500x500.jpg,-1.8018098050815563
111,Garlic Soy Marinated Albacore,appetizer,Calories,176,kcal,https://www.justonecookbook.com/wp-content/uploads/2013/10/Garlic-Albacore-400x400.jpg,-0.8209805520698302
112,Garlic Soy Marinated Albacore,appetizer,Protein,24,g,https://www.justonecookbook.com/wp-content/uploads/2013/10/Garlic-Albacore-400x400.jpg,0.8754687373538999
113,Garlic Soy Marinated Albacore,appetizer,Sodium,521,mg,https://www.justonecookbook.com/wp-content/uploads/2013/10/Garlic-Albacore-400x400.jpg,0.2642854946453849
114,Garlic Soy Marinated Albacore,appetizer,Potassium,297,mg,https://www.justonecookbook.com/wp-content/uploads/2013/10/Garlic-Albacore-400x400.jpg,-0.8573481962407051
115,Garlic Soy Marinated Albacore,appetizer,Calcium,19,mg,https://www.justonecookbook.com/wp-content/uploads/2013/10/Garlic-Albacore-400x400.jpg,-2.353878387381596
116,Grilled Little Neck Clams,appetizer,Calories,82,kcal,https://www.justonecookbook.com/wp-content/uploads/2012/06/Grilled-Little-Neck-Clams-400x400.jpg,-1.584745299843729
117,Grilled Little Neck Clams,appetizer,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2012/06/Grilled-Little-Neck-Clams-400x400.jpg,-1.6094379124341003
118,Grilled Little Neck Clams,appetizer,Sodium,517,mg,https://www.justonecookbook.com/wp-content/uploads/2012/06/Grilled-Little-Neck-Clams-400x400.jpg,0.2565783274004471
119,Grilled Little Neck Clams,appetizer,Potassium,8,mg,https://www.justonecookbook.com/wp-content/uploads/2012/06/Grilled-Little-Neck-Clams-400x400.jpg,-4.471638793363569
120,Grilled Little Neck Clams,appetizer,Calcium,5,mg,https://www.justonecookbook.com/wp-content/uploads/2012/06/Grilled-Little-Neck-Clams-400x400.jpg,-3.6888794541139363
121,Grilled Oysters with Ponzu Sauce,appetizer,Calories,11,kcal,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600-400x400.jpg,-3.5935692743096115
122,Grilled Oysters with Ponzu Sauce,appetizer,Protein,1,g,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600-400x400.jpg,-2.3025850929940455
123,Grilled Oysters with Ponzu Sauce,appetizer,Sodium,176,mg,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600-400x400.jpg,-0.8209805520698302
124,Grilled Oysters with Ponzu Sauce,appetizer,Potassium,59,mg,https://www.justonecookbook.com/wp-content/uploads/2018/01/Grilled-Oyster-w600-400x400.jpg,-2.473542891137685
